epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7474,0.98737,2.84862,1.1469,0.56952,0.35686,0.39839,0.32025,0.78252,1.41767,0.99436,0.067,3.3033e-05,3.3033e-05
2,79.7581,0.80745,1.23939,1.02299,0.75433,0.44346,0.5401,0.43191,0.70848,0.99394,0.95344,0.0336993,6.57028e-05,6.57028e-05
3,118.48,0.7515,0.97627,0.99678,0.75479,0.53836,0.60967,0.4932,0.64212,0.81787,0.91743,0.000398006,9.77059e-05,9.77059e-05
4,157.343,0.71353,0.85235,0.96945,0.76734,0.56403,0.6356,0.51849,0.60376,0.72181,0.89454,9.70003e-05,9.70003e-05,9.70003e-05
5,195.94,0.68986,0.77638,0.95313,0.79909,0.5727,0.66733,0.53891,0.60368,0.70027,0.89039,9.60004e-05,9.60004e-05,9.60004e-05
6,234.65,0.65553,0.70351,0.93695,0.82912,0.58443,0.67184,0.53778,0.60444,0.67098,0.88677,9.50005e-05,9.50005e-05,9.50005e-05
7,273.317,0.63678,0.67462,0.93051,0.77044,0.62024,0.68623,0.55111,0.58584,0.66026,0.8885,9.40006e-05,9.40006e-05,9.40006e-05
8,311.978,0.61832,0.62318,0.92059,0.78029,0.6353,0.6928,0.54879,0.60344,0.64612,0.89359,9.30007e-05,9.30007e-05,9.30007e-05
9,350.512,0.62122,0.60191,0.91713,0.87385,0.6271,0.71258,0.57917,0.56704,0.59236,0.86848,9.20008e-05,9.20008e-05,9.20008e-05
10,389.177,0.6029,0.57979,0.91247,0.92502,0.60826,0.71537,0.58013,0.58126,0.59406,0.87978,9.10009e-05,9.10009e-05,9.10009e-05
11,427.933,0.58885,0.57276,0.90789,0.83279,0.63248,0.71447,0.57308,0.57466,0.59846,0.87752,9.0001e-05,9.0001e-05,9.0001e-05
12,466.548,0.58272,0.56347,0.90147,0.83757,0.6593,0.72489,0.59184,0.55554,0.57973,0.87245,8.90011e-05,8.90011e-05,8.90011e-05
13,506.691,0.57072,0.54095,0.8972,0.84696,0.65596,0.72549,0.57866,0.56973,0.56953,0.88867,8.80012e-05,8.80012e-05,8.80012e-05
14,549.258,0.57302,0.53319,0.89283,0.86478,0.64289,0.72676,0.59071,0.55446,0.55441,0.86633,8.70013e-05,8.70013e-05,8.70013e-05
15,588.527,0.56313,0.5195,0.88867,0.86403,0.64679,0.7402,0.60615,0.54216,0.54346,0.85728,8.60014e-05,8.60014e-05,8.60014e-05
16,627.909,0.54701,0.49615,0.88439,0.92389,0.64421,0.74766,0.60348,0.54449,0.53606,0.85262,8.50015e-05,8.50015e-05,8.50015e-05
17,667.356,0.55442,0.50844,0.89081,0.91328,0.63959,0.74293,0.59954,0.54131,0.53933,0.86954,8.40016e-05,8.40016e-05,8.40016e-05
18,712.024,0.55041,0.4944,0.88695,0.87155,0.66758,0.74757,0.60813,0.54436,0.53309,0.86869,8.30017e-05,8.30017e-05,8.30017e-05
19,761.601,0.54309,0.47303,0.88266,0.87797,0.65704,0.73928,0.6045,0.53411,0.5358,0.86257,8.20018e-05,8.20018e-05,8.20018e-05
20,810.639,0.55016,0.48927,0.88331,0.87882,0.64963,0.74685,0.60912,0.52187,0.51906,0.85777,8.10019e-05,8.10019e-05,8.10019e-05
21,860.1,0.53242,0.46552,0.88579,0.90856,0.65351,0.74806,0.60263,0.53008,0.51322,0.87724,8.0002e-05,8.0002e-05,8.0002e-05
22,908.932,0.52759,0.46207,0.88502,0.89738,0.6607,0.75343,0.61202,0.52496,0.51618,0.86356,7.90021e-05,7.90021e-05,7.90021e-05
23,958.249,0.52988,0.45864,0.87388,0.89428,0.67334,0.75097,0.60406,0.53797,0.51298,0.85573,7.80022e-05,7.80022e-05,7.80022e-05
24,1007.23,0.5365,0.46438,0.88066,0.90093,0.67484,0.76546,0.6221,0.52587,0.50952,0.86313,7.70023e-05,7.70023e-05,7.70023e-05
